strain	date	PPX_accession	PPX_accession__url	INSDC_accession	INSDC_accession__url	dataUseTerms	dataUseTerms__url	region	country	clades	old_nomenclature	insertion	author	accession	division
Peru/PP_002E9YY.2/2008-10-07	2008-10-07	PP_002E9YY.2	https://pathoplexus.org/seq/PP_002E9YY.2	KJ627391.1	https://www.ncbi.nlm.nih.gov/nuccore/KJ627391.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	South America	Peru	B1	B1	False	Wentworth, D. E.; Halpin, R. A.; Bera, J.; Lin, X.; Fedorova, N.; Tsitrin, T.; McLellan, M.; Stockwell, T.; Amedeo, P.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Garcia, J.; Laguna-Torres, V. A.; Leguia, M.; Benavides, J. G.; Halsey, E.	PP_002E9YY	Loreto
Australia/PP_002E5SE.2/2004-08-19	2004-08-19	PP_002E5SE.2	https://pathoplexus.org/seq/PP_002E5SE.2	KF530164.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530164.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E5SE	Queensland
Australia/PP_002E60Y.2/2004-06-22	2004-06-22	PP_002E60Y.2	https://pathoplexus.org/seq/PP_002E60Y.2	KF530171.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530171.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E60Y	Queensland
Australia/PP_002E62U.2/2004-07-06	2004-07-06	PP_002E62U.2	https://pathoplexus.org/seq/PP_002E62U.2	KF530173.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530173.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E62U	Queensland
Australia/PP_002E5V8.2/2004-08-30	2004-08-30	PP_002E5V8.2	https://pathoplexus.org/seq/PP_002E5V8.2	KF530167.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530167.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E5V8	Queensland
Australia/PP_002E67J.2/2004-07-06	2004-07-06	PP_002E67J.2	https://pathoplexus.org/seq/PP_002E67J.2	KF530177.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530177.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E67J	Queensland
Peru/PP_002EB4K.2/2009-04-20	2009-04-20	PP_002EB4K.2	https://pathoplexus.org/seq/PP_002EB4K.2	KJ627431.1	https://www.ncbi.nlm.nih.gov/nuccore/KJ627431.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	South America	Peru	B1	B1	False	Wentworth, D. E.; Halpin, R. A.; Bera, J.; Lin, X.; Fedorova, N.; Tsitrin, T.; McLellan, M.; Stockwell, T.; Amedeo, P.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Garcia, J.; Laguna-Torres, V. A.; Leguia, M.; Benavides, J. G.; Halsey, E.	PP_002EB4K	Loreto
Peru/PP_002EB8B.2/2009-05-22	2009-05-22	PP_002EB8B.2	https://pathoplexus.org/seq/PP_002EB8B.2	KJ627435.1	https://www.ncbi.nlm.nih.gov/nuccore/KJ627435.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	South America	Peru	B1	B1	False	Wentworth, D. E.; Halpin, R. A.; Bera, J.; Lin, X.; Fedorova, N.; Tsitrin, T.; McLellan, M.; Stockwell, T.; Amedeo, P.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Garcia, J.; Laguna-Torres, V. A.; Leguia, M.; Benavides, J. G.; Halsey, E.	PP_002EB8B	Loreto
Australia/PP_002E5KU.2/2004-08-30	2004-08-30	PP_002E5KU.2	https://pathoplexus.org/seq/PP_002E5KU.2	KF530158.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530158.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E5KU	Queensland
Viet_Nam/PP_002G44N.2/2014-12-18	2014-12-18	PP_002G44N.2	https://pathoplexus.org/seq/PP_002G44N.2	MH828686.1	https://www.ncbi.nlm.nih.gov/nuccore/MH828686.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Viet Nam	B1	B1	False	Lu, L.; Robertson, G.; Ashworth, J.; Pham Hong, A.; Shi, T.; Ivens, A.; Thwaites, G.; Baker, S.; Woolhouse, M.	PP_002G44N	
Australia/PP_002E6C8.2/2004-09-01	2004-09-01	PP_002E6C8.2	https://pathoplexus.org/seq/PP_002E6C8.2	KF530181.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530181.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E6C8	Queensland
Australia/PP_002E69E.2/2003-08-11	2003-08-11	PP_002E69E.2	https://pathoplexus.org/seq/PP_002E69E.2	KF530179.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530179.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E69E	Queensland
Australia/PP_002E6D6.2/2003-07-14	2003-07-14	PP_002E6D6.2	https://pathoplexus.org/seq/PP_002E6D6.2	KF530182.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530182.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E6D6	Queensland
Australia/PP_002E5MQ.2/2004-09-02	2004-09-02	PP_002E5MQ.2	https://pathoplexus.org/seq/PP_002E5MQ.2	KF530160.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530160.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E5MQ	Queensland
China/PP_00485XE.1/2016-03-01	2016-03-01	PP_00485XE.1	https://pathoplexus.org/seq/PP_00485XE.1	PV218140.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218140.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Kang, L.; Wang, L.; Huang, F.	PP_00485XE	Beijing
China/PP_00485YC.1/2016-02-29	2016-02-29	PP_00485YC.1	https://pathoplexus.org/seq/PP_00485YC.1	PV218141.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218141.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Kang, L.; Wang, L.; Huang, F.	PP_00485YC	Beijing
China/PP_002HCJG.1/2011-02-16	2011-02-16	PP_002HCJG.1	https://pathoplexus.org/seq/PP_002HCJG.1	MZ504959.1	https://www.ncbi.nlm.nih.gov/nuccore/MZ504959.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Guo, C.; Zhu, R.; Qian, Y.; Wang, F.; Deng, J.; Zhao, L.; Tian, R.	PP_002HCJG	
Viet_Nam/PP_002G45L.2/2014-08-14	2014-08-14	PP_002G45L.2	https://pathoplexus.org/seq/PP_002G45L.2	MH828687.1	https://www.ncbi.nlm.nih.gov/nuccore/MH828687.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Viet Nam	B1	B1	False	Lu, L.; Robertson, G.; Ashworth, J.; Pham Hong, A.; Shi, T.; Ivens, A.; Thwaites, G.; Baker, S.; Woolhouse, M.	PP_002G45L	
Kenya/PP_002GCB0.2/2015-01-29	2015-01-29	PP_002GCB0.2	https://pathoplexus.org/seq/PP_002GCB0.2	MK989730.1	https://www.ncbi.nlm.nih.gov/nuccore/MK989730.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Africa	Kenya	B1	B1	False	Phan, M. V. T.; Agoti, C. N.; Nokes, D. J.; Cotten, M.	PP_002GCB0	
China/PP_002HCKE.1/2012-02-23	2012-02-23	PP_002HCKE.1	https://pathoplexus.org/seq/PP_002HCKE.1	MZ504960.1	https://www.ncbi.nlm.nih.gov/nuccore/MZ504960.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Guo, C.; Zhu, R.; Qian, Y.; Wang, F.; Deng, J.; Zhao, L.; Tian, R.	PP_002HCKE	
Australia/PP_002JEXL.2/2016-06-26	2016-06-26	PP_002JEXL.2	https://pathoplexus.org/seq/PP_002JEXL.2	OP904074.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904074.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JEXL	
China/PP_002JMCJ.1/2011-03	2011-03-31 (2011-03-04 - 2011-03-31)	PP_002JMCJ.1	https://pathoplexus.org/seq/PP_002JMCJ.1	OR338753.1	https://www.ncbi.nlm.nih.gov/nuccore/OR338753.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Zhu, R. N.; Li, X. Y.; Wang, F.; Han, Z. Z.	PP_002JMCJ	
China/PP_002HCN8.1/2013-04-18	2013-04-18	PP_002HCN8.1	https://pathoplexus.org/seq/PP_002HCN8.1	MZ504963.1	https://www.ncbi.nlm.nih.gov/nuccore/MZ504963.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Guo, C.; Zhu, R.; Qian, Y.; Wang, F.; Deng, J.; Sun, Y.; Zhao, L.; Tian, R.	PP_002HCN8	
Australia/PP_002JE0F.2/2016-10-09	2016-10-09	PP_002JE0F.2	https://pathoplexus.org/seq/PP_002JE0F.2	OP904043.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904043.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JE0F	
Australia/PP_002JFWM.2/2016-10-09	2016-10-09	PP_002JFWM.2	https://pathoplexus.org/seq/PP_002JFWM.2	OP904107.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904107.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JFWM	
USA/PP_004F53P.1/2018-02	2018-02-01 (2018-02-01 - 2018-02-25)	PP_004F53P.1	https://pathoplexus.org/seq/PP_004F53P.1	PV796822.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796822.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F53P	Pittsburgh
USA/PP_002K8ZL.1/2020-02-05	2020-02-05	PP_002K8ZL.1	https://pathoplexus.org/seq/PP_002K8ZL.1	PQ634946.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634946.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K8ZL	Washington
China/PP_00486RR.1/2017-02-14	2017-02-14	PP_00486RR.1	https://pathoplexus.org/seq/PP_00486RR.1	PV218168.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218168.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Kang, L.; Wang, L.; Huang, F.	PP_00486RR	Beijing
Australia/PP_002JETU.2/2016-10-18	2016-10-18	PP_002JETU.2	https://pathoplexus.org/seq/PP_002JETU.2	OP904070.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904070.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JETU	
Peru/PP_002KF60.1/2022-08-12	2022-08-12	PP_002KF60.1	https://pathoplexus.org/seq/PP_002KF60.1	PV353978.1	https://www.ncbi.nlm.nih.gov/nuccore/PV353978.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	South America	Peru	B1	B1	False	Bacsik, D.; Cuicapuza, D.; Ayzanoa, B.; Martinez-Ventura, A.; Meza, E.; Caceres, T.; Zamudio, C.; Gotuzzo, E.; Tsukayama, P.	PP_002KF60	
Australia/PP_002JE39.2/2017-05-10	2017-05-10	PP_002JE39.2	https://pathoplexus.org/seq/PP_002JE39.2	OP904046.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904046.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JE39	
USA/PP_004F898.1/2017-10	2017-10-01 (2017-10-01 - 2017-10-28)	PP_004F898.1	https://pathoplexus.org/seq/PP_004F898.1	PV796930.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796930.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F898	Pittsburgh
Argentina/PP_002FP29.1/2016-07-04	2016-07-04	PP_002FP29.1	https://pathoplexus.org/seq/PP_002FP29.1	MG773272.1	https://www.ncbi.nlm.nih.gov/nuccore/MG773272.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	South America	Argentina	B1	B1	False	Goya, S.; Valinotto, L. E.; Tittarelli, E.; Rojo, G. L.; Nabaes Jodar, M. S.; Greninger, A. L.; Zaiat, J. J.; Marti, M. A.; Mistchenko, A. S.; Viegas, M.; Greninger, A.; Zaiat, J.; Marti, M.	PP_002FP29	
China/PP_004878R.1/2017-04-21	2017-04-21	PP_004878R.1	https://pathoplexus.org/seq/PP_004878R.1	PV218185.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218185.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Kang, L.; Wang, L.; Huang, F.	PP_004878R	Beijing
China/PP_00485M0.1/2016-01-07	2016-01-07	PP_00485M0.1	https://pathoplexus.org/seq/PP_00485M0.1	PV218130.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218130.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Kang, L.; Wang, L.; Huang, F.	PP_00485M0	Beijing
China/PP_004865Y.1/2016-04-25	2016-04-25	PP_004865Y.1	https://pathoplexus.org/seq/PP_004865Y.1	PV218148.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218148.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Kang, L.; Wang, L.; Huang, F.	PP_004865Y	Beijing
China/PP_00485DH.1/2015-12-22	2015-12-22	PP_00485DH.1	https://pathoplexus.org/seq/PP_00485DH.1	PV218122.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218122.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Kang, L.; Wang, L.; Huang, F.	PP_00485DH	Beijing
China/PP_00485FD.1/2015-12-29	2015-12-29	PP_00485FD.1	https://pathoplexus.org/seq/PP_00485FD.1	PV218124.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218124.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Kang, L.; Wang, L.; Huang, F.	PP_00485FD	Beijing
China/PP_00485RS.1/2015-01-19	2015-01-19	PP_00485RS.1	https://pathoplexus.org/seq/PP_00485RS.1	PV218134.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218134.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	B1	B1	False	Kang, L.; Wang, L.; Huang, F.	PP_00485RS	Beijing
