strain	date	clade	region	country	host	author	accession	accession__url
JX898875	2000-12-31 (2000-02-10 - 2000-12-31)	Clade V	Africa	Senegal	Aedes furcifer	Stock et al.	JX898875	https://www.ncbi.nlm.nih.gov/nuccore/JX898875
JX898874	2000-03-02 (2000-01-01 - 2000-12-31)	Clade V	Africa	Senegal	Aedes taylori	Stock et al.	JX898874	https://www.ncbi.nlm.nih.gov/nuccore/JX898874
JX898873	2000-10-07 (2000-01-01 - 2000-12-31)	Clade V	Africa	Senegal	Aedes furcifer	Stock et al.	JX898873	https://www.ncbi.nlm.nih.gov/nuccore/JX898873
MN958078	2018-12-31 (2018-03-06 - 2018-12-31)	Clade V	Africa	Nigeria	Homo sapiens	Ajogbasile et al.	MN958078	https://www.ncbi.nlm.nih.gov/nuccore/MN958078
MK457700	2018-10-14	Clade V	Africa	Nigeria	Homo sapiens	Ajogbasile et al.	MK457700	https://www.ncbi.nlm.nih.gov/nuccore/MK457700
OR075002	2020-11-01 (2020-11-01 - 2020-11-27)	Clade V	Africa	Nigeria	Homo sapiens	Oguzie et al.	OR075002	https://www.ncbi.nlm.nih.gov/nuccore/OR075002
MK457701	2018-10-22	Clade V	Africa	Nigeria	Homo sapiens	Ajogbasile et al.	MK457701	https://www.ncbi.nlm.nih.gov/nuccore/MK457701
MK292067	2018-11-19	Clade V	Europe	Netherlands	Homo sapiens	Phan et al.	MK292067	https://www.ncbi.nlm.nih.gov/nuccore/MK292067
MZ595195	2020-12-31 (2020-02-19 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595195	https://www.ncbi.nlm.nih.gov/nuccore/MZ595195
MZ595194	2020-01-01 (2020-01-01 - 2020-10-30)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595194	https://www.ncbi.nlm.nih.gov/nuccore/MZ595194
MZ595185	2020-01-01 (2020-01-01 - 2020-10-30)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595185	https://www.ncbi.nlm.nih.gov/nuccore/MZ595185
MZ595183	2020-01-01 (2020-01-01 - 2020-09-28)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595183	https://www.ncbi.nlm.nih.gov/nuccore/MZ595183
MZ595189	2020-06-07 (2020-01-01 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595189	https://www.ncbi.nlm.nih.gov/nuccore/MZ595189
MZ595186	2020-12-31 (2020-04-18 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595186	https://www.ncbi.nlm.nih.gov/nuccore/MZ595186
MZ595188	2020-01-01 (2020-01-01 - 2020-09-28)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595188	https://www.ncbi.nlm.nih.gov/nuccore/MZ595188
MZ595187	2020-01-01 (2020-01-01 - 2020-10-21)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595187	https://www.ncbi.nlm.nih.gov/nuccore/MZ595187
MZ595198	2020-01-01 (2020-01-01 - 2020-10-24)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595198	https://www.ncbi.nlm.nih.gov/nuccore/MZ595198
MZ595190	2020-12-31 (2020-03-19 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595190	https://www.ncbi.nlm.nih.gov/nuccore/MZ595190
MZ595197	2020-07-25 (2020-01-01 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595197	https://www.ncbi.nlm.nih.gov/nuccore/MZ595197
MZ595192	2020-11-20 (2020-01-01 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595192	https://www.ncbi.nlm.nih.gov/nuccore/MZ595192
MZ595191	2020-11-20 (2020-01-01 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595191	https://www.ncbi.nlm.nih.gov/nuccore/MZ595191
MZ595196	2020-01-21 (2020-01-01 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595196	https://www.ncbi.nlm.nih.gov/nuccore/MZ595196
MZ595184	2020-10-31 (2020-01-01 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595184	https://www.ncbi.nlm.nih.gov/nuccore/MZ595184
MZ595193	2020-05-23 (2020-01-01 - 2020-12-31)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595193	https://www.ncbi.nlm.nih.gov/nuccore/MZ595193
MZ595199	2020-01-01 (2020-01-01 - 2020-09-26)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595199	https://www.ncbi.nlm.nih.gov/nuccore/MZ595199
MZ595203	2020-12-31 (2020-05-27 - 2020-12-31)	Clade V	Africa	Senegal	Homo sapiens	Diagne et al.	MZ595203	https://www.ncbi.nlm.nih.gov/nuccore/MZ595203
MZ595182	2020-01-01 (2020-01-01 - 2020-09-26)	Clade V	Africa	Senegal	Culicidae	Diagne et al.	MZ595182	https://www.ncbi.nlm.nih.gov/nuccore/MZ595182
PX379992	2024-10-01 (2024-10-01 - 2024-10-28)	Clade V	Africa	Senegal	Culicidae	Gaye et al.	PX379992	https://www.ncbi.nlm.nih.gov/nuccore/PX379992
PX379995	2024-10-01 (2024-10-01 - 2024-10-28)	Clade V	Africa	Senegal	Culicidae	Gaye et al.	PX379995	https://www.ncbi.nlm.nih.gov/nuccore/PX379995
PX379994	2024-10-31 (2024-10-04 - 2024-10-31)	Clade V	Africa	Senegal	Culicidae	Gaye et al.	PX379994	https://www.ncbi.nlm.nih.gov/nuccore/PX379994
PX379996	2024-10-06 (2024-10-01 - 2024-10-31)	Clade V	Africa	Senegal	Culicidae	Gaye et al.	PX379996	https://www.ncbi.nlm.nih.gov/nuccore/PX379996
PX379990	2024-10-06 (2024-10-01 - 2024-10-31)	Clade V	Africa	Senegal	Culicidae	Gaye et al.	PX379990	https://www.ncbi.nlm.nih.gov/nuccore/PX379990
PX379993	2024-10-01 (2024-10-01 - 2024-10-31)	Clade V	Africa	Senegal	Culicidae	Gaye et al.	PX379993	https://www.ncbi.nlm.nih.gov/nuccore/PX379993
PX379991	2024-10-31 (2024-10-04 - 2024-10-31)	Clade V	Africa	Senegal	Culicidae	Gaye et al.	PX379991	https://www.ncbi.nlm.nih.gov/nuccore/PX379991
ON323052	2020-12-14	Clade V	Africa	Nigeria	Homo sapiens	Shaibu et al.	ON323052	https://www.ncbi.nlm.nih.gov/nuccore/ON323052
ON323053	2020-12-14	Clade V	Africa	Nigeria	Homo sapiens	Shaibu et al.	ON323053	https://www.ncbi.nlm.nih.gov/nuccore/ON323053
ON323054	2020-12-14	Clade V	Africa	Nigeria	Homo sapiens	Shaibu et al.	ON323054	https://www.ncbi.nlm.nih.gov/nuccore/ON323054
ON402371	2020-12-14	Clade V	Africa	Nigeria	Homo sapiens	Shaibu et al.	ON402371	https://www.ncbi.nlm.nih.gov/nuccore/ON402371
JX898872	1995-11-15 (1995-01-01 - 1995-12-31)	Clade V	Africa	Senegal	Aedes aegypti	Stock et al.	JX898872	https://www.ncbi.nlm.nih.gov/nuccore/JX898872
JX898871	1995-11-15 (1995-01-01 - 1995-12-31)	Clade V	Africa	Senegal	Aedes aegypti	Stock et al.	JX898871	https://www.ncbi.nlm.nih.gov/nuccore/JX898871
MW249089	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249089	https://www.ncbi.nlm.nih.gov/nuccore/MW249089
MW249084	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249084	https://www.ncbi.nlm.nih.gov/nuccore/MW249084
MW249092	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249092	https://www.ncbi.nlm.nih.gov/nuccore/MW249092
MW249090	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249090	https://www.ncbi.nlm.nih.gov/nuccore/MW249090
MW249087	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249087	https://www.ncbi.nlm.nih.gov/nuccore/MW249087
MW249085	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249085	https://www.ncbi.nlm.nih.gov/nuccore/MW249085
MW249086	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249086	https://www.ncbi.nlm.nih.gov/nuccore/MW249086
MW249095	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249095	https://www.ncbi.nlm.nih.gov/nuccore/MW249095
MW249091	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249091	https://www.ncbi.nlm.nih.gov/nuccore/MW249091
MW249078	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249078	https://www.ncbi.nlm.nih.gov/nuccore/MW249078
MW249077	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249077	https://www.ncbi.nlm.nih.gov/nuccore/MW249077
MW249094	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249094	https://www.ncbi.nlm.nih.gov/nuccore/MW249094
MW249081	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249081	https://www.ncbi.nlm.nih.gov/nuccore/MW249081
MW249088	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249088	https://www.ncbi.nlm.nih.gov/nuccore/MW249088
MZ285906	1927-12-31 (1927-07-09 - 1927-12-31)	Clade V	Africa	Senegal	Homo sapiens	Strother et al.	MZ285906	https://www.ncbi.nlm.nih.gov/nuccore/MZ285906
PX648516	2023-11-04	Clade V				Hansen et al.	PX648516	https://www.ncbi.nlm.nih.gov/nuccore/PX648516
MF926243	2015-01-01 (2015-01-01 - 2015-11-25)	Clade V	Europe	France	Cricetinae	Klitting et al.	MF926243	https://www.ncbi.nlm.nih.gov/nuccore/MF926243
MF405338	1927-12-31 (1927-09-17 - 1927-12-31)	Clade V	Africa	Ghana	Homo sapiens	Klitting et al.	MF405338	https://www.ncbi.nlm.nih.gov/nuccore/MF405338
KU978764	1941-06-06	Clade V	Africa	Sudan	Homo sapiens	Guerbois et al.	KU978764	https://www.ncbi.nlm.nih.gov/nuccore/KU978764
MW158362	1997-07-31 (1997-07-04 - 1997-07-31)	Clade V	South America	Ecuador	Homo sapiens	Queiroz et al.	MW158362	https://www.ncbi.nlm.nih.gov/nuccore/MW158362
GQ379163	2007-10-22 (2007-10-01 - 2007-10-31)	Clade V	South America	Peru	Homo sapiens	Whittembury et al.	GQ379163	https://www.ncbi.nlm.nih.gov/nuccore/GQ379163
GQ379162	2007-10-01 (2007-10-01 - 2007-10-28)	Clade V	South America	Peru	Homo sapiens	Whittembury et al.	GQ379162	https://www.ncbi.nlm.nih.gov/nuccore/GQ379162
OR882684	2003-01-01 (2003-01-01 - 2003-11-25)	Clade V	Europe	United Kingdom		Li et al.	OR882684	https://www.ncbi.nlm.nih.gov/nuccore/OR882684
MW158363	1966-12-31 (1966-08-18 - 1966-12-31)	Clade V	North America	USA	Homo sapiens	Queiroz et al.	MW158363	https://www.ncbi.nlm.nih.gov/nuccore/MW158363
MW158358	2004-01-01 (2004-01-01 - 2004-11-25)	Clade V	South America	Peru	Homo sapiens	Queiroz et al.	MW158358	https://www.ncbi.nlm.nih.gov/nuccore/MW158358
MF289572	2017-06-01 (2017-06-01 - 2017-06-27)	Clade V	Asia	Singapore		Chua et al.	MF289572	https://www.ncbi.nlm.nih.gov/nuccore/MF289572
MG922934	2017-12-31 (2017-03-28 - 2017-12-31)	Clade V	Europe	Germany	Homo sapiens	Eisermann et al.	MG922934	https://www.ncbi.nlm.nih.gov/nuccore/MG922934
PP025904	2018-04-13	Clade V	Europe	Spain		Mendoza et al.	PP025904	https://www.ncbi.nlm.nih.gov/nuccore/PP025904
MN708493	2019-02-07	Clade V	Europe	Belgium		Kum et al.	MN708493	https://www.ncbi.nlm.nih.gov/nuccore/MN708493
MN708494	2019-02-07	Clade V	Europe	Belgium		Kum et al.	MN708494	https://www.ncbi.nlm.nih.gov/nuccore/MN708494
MW249080	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249080	https://www.ncbi.nlm.nih.gov/nuccore/MW249080
MN708495	2019-02-07	Clade V	Europe	Belgium		Kum et al.	MN708495	https://www.ncbi.nlm.nih.gov/nuccore/MN708495
MN708491	2019-02-07	Clade V	Europe	Belgium		Kum et al.	MN708491	https://www.ncbi.nlm.nih.gov/nuccore/MN708491
MW249074	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249074	https://www.ncbi.nlm.nih.gov/nuccore/MW249074
MW249076	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249076	https://www.ncbi.nlm.nih.gov/nuccore/MW249076
MN708488	2019-02-07	Clade V	Europe	France		Kum et al.	MN708488	https://www.ncbi.nlm.nih.gov/nuccore/MN708488
OR700702	2023-08-01 (2023-08-01 - 2023-08-28)	Clade V	Oceania	Australia	Homo sapiens	Aziz et al.	OR700702	https://www.ncbi.nlm.nih.gov/nuccore/OR700702
MN708492	2019-02-07	Clade V	Europe	Belgium		Kum et al.	MN708492	https://www.ncbi.nlm.nih.gov/nuccore/MN708492
DQ118157	2004-12-31 (2004-03-29 - 2004-12-31)	Clade V	Europe	Spain		Doblas et al.	DQ118157	https://www.ncbi.nlm.nih.gov/nuccore/DQ118157
MW158360	2011-03-01 (2011-03-01 - 2011-03-31)	Clade V	South America	Peru	Homo sapiens	Queiroz et al.	MW158360	https://www.ncbi.nlm.nih.gov/nuccore/MW158360
MW249075	2019-02-07	Clade V	Europe	France	Homo sapiens	Bakoa et al.	MW249075	https://www.ncbi.nlm.nih.gov/nuccore/MW249075
MN708490	2019-02-07	Clade V	Europe	Belgium		Kum et al.	MN708490	https://www.ncbi.nlm.nih.gov/nuccore/MN708490
MN708489	2019-02-07	Clade V	Europe	Belgium		Kum et al.	MN708489	https://www.ncbi.nlm.nih.gov/nuccore/MN708489
MN708496	2019-02-07	Clade V	Europe	Belgium		Kum et al.	MN708496	https://www.ncbi.nlm.nih.gov/nuccore/MN708496
MN708497	2019-02-07	Clade V	Europe	Belgium		Kum et al.	MN708497	https://www.ncbi.nlm.nih.gov/nuccore/MN708497
JX949181	2012-07-03	Clade V	North America	USA		Amanna et al.	JX949181	https://www.ncbi.nlm.nih.gov/nuccore/JX949181
MT505351	2020-05-19	Clade V	North America	USA		Baker et al.	MT505351	https://www.ncbi.nlm.nih.gov/nuccore/MT505351
MT505352	2020-05-19	Clade V	North America	USA		Baker et al.	MT505352	https://www.ncbi.nlm.nih.gov/nuccore/MT505352
OM938990	2019-01-01 (2019-01-01 - 2019-10-05)	Clade V	Europe	France		Esson et al.	OM938990	https://www.ncbi.nlm.nih.gov/nuccore/OM938990
OM938989	2018-01-01 (2018-01-01 - 2018-10-10)	Clade V	Europe	France		Esson et al.	OM938989	https://www.ncbi.nlm.nih.gov/nuccore/OM938989
OM938988	2016-12-27 (2016-01-01 - 2016-12-31)	Clade V	Europe	France		Esson et al.	OM938988	https://www.ncbi.nlm.nih.gov/nuccore/OM938988
JF912181	1983-01-01 (1983-01-01 - 1983-11-20)	Clade VII	South America	Brazil	Homo sapiens	Nunes et al.	JF912181	https://www.ncbi.nlm.nih.gov/nuccore/JF912181
MW158359	1998-01-20	Clade VII	South America	Peru	Homo sapiens	Queiroz et al.	MW158359	https://www.ncbi.nlm.nih.gov/nuccore/MW158359
PQ186354	1997-07-01 (1997-07-01 - 1997-07-28)	Clade VII	South America	Ecuador	Homo sapiens	Zhang et al.	PQ186354	https://www.ncbi.nlm.nih.gov/nuccore/PQ186354
MW158361	1995-05-19	Clade VII	South America	Peru	Homo sapiens	Queiroz et al.	MW158361	https://www.ncbi.nlm.nih.gov/nuccore/MW158361
PQ186350	1995-01-30	Clade VII	South America	Peru	Homo sapiens	Zhang et al.	PQ186350	https://www.ncbi.nlm.nih.gov/nuccore/PQ186350
PQ186339	1998-03-13	Clade VII	South America	Peru	Homo sapiens	Zhang et al.	PQ186339	https://www.ncbi.nlm.nih.gov/nuccore/PQ186339
PQ181571	1998-03-13	Clade VII	South America	Peru	Homo sapiens	Peng et al.	PQ181571	https://www.ncbi.nlm.nih.gov/nuccore/PQ181571
PP477075	2023-04-11	Clade VII	South America	Colombia	Homo sapiens	Perez-Restrepo et al.	PP477075	https://www.ncbi.nlm.nih.gov/nuccore/PP477075
PQ186349	2006-02-18	Clade VII	South America	Bolivia	Homo sapiens	Zhang et al.	PQ186349	https://www.ncbi.nlm.nih.gov/nuccore/PQ186349
MF004382	1999-01-01	Clade VII	South America	Bolivia	Homo sapiens	Baronti et al.	MF004382	https://www.ncbi.nlm.nih.gov/nuccore/MF004382
MW158339	1960-09-23	Clade VI	South America	Brazil	Cebus sp.	Queiroz et al.	MW158339	https://www.ncbi.nlm.nih.gov/nuccore/MW158339
MW158340	1968-06-06	Clade VI	South America	Brazil	Saguinus midas	Queiroz et al.	MW158340	https://www.ncbi.nlm.nih.gov/nuccore/MW158340
MW158338	1955-01-21	Clade VI	South America	Brazil	Simiiformes	Queiroz et al.	MW158338	https://www.ncbi.nlm.nih.gov/nuccore/MW158338
PQ186344	1971-05-20	Clade VI	South America	Brazil	Homo sapiens	Zhang et al.	PQ186344	https://www.ncbi.nlm.nih.gov/nuccore/PQ186344
JF912183	1984-12-31 (1984-02-12 - 1984-12-31)	Clade VI	South America	Brazil	Homo sapiens	Nunes et al.	JF912183	https://www.ncbi.nlm.nih.gov/nuccore/JF912183
JF912184	1987-12-31 (1987-02-25 - 1987-12-31)	Clade VI	South America	Brazil	Homo sapiens	Nunes et al.	JF912184	https://www.ncbi.nlm.nih.gov/nuccore/JF912184
JF912179	1980-01-01 (1980-01-01 - 1980-12-02)	Clade VI	South America	Brazil	Haemagogus	Nunes et al.	JF912179	https://www.ncbi.nlm.nih.gov/nuccore/JF912179
PQ441954	1993-05-12	Clade VI	South America	Brazil	Homo sapiens	Peng et al.	PQ441954	https://www.ncbi.nlm.nih.gov/nuccore/PQ441954
MW158341	1991-06-21	Clade VI	South America	Brazil	Alouatta sp.	Queiroz et al.	MW158341	https://www.ncbi.nlm.nih.gov/nuccore/MW158341
JF912186	1994-12-31 (1994-02-18 - 1994-12-31)	Clade VI	South America	Brazil	Homo sapiens	Nunes et al.	JF912186	https://www.ncbi.nlm.nih.gov/nuccore/JF912186
PQ441955	1974-01-31 (1974-01-01 - 1974-12-31)	Clade VI	North America	Panama	Homo sapiens	Peng et al.	PQ441955	https://www.ncbi.nlm.nih.gov/nuccore/PQ441955
OR119828	1974-12-31 (1974-03-10 - 1974-12-31)	Clade VI	North America	Panama	Homo sapiens	Marano et al.	OR119828	https://www.ncbi.nlm.nih.gov/nuccore/OR119828
MW158343	1973-02-16	Clade VI	South America	Brazil	Haemagogus	Queiroz et al.	MW158343	https://www.ncbi.nlm.nih.gov/nuccore/MW158343
MW158344	1985-06-16	Clade VI	South America	Brazil	Haemagogus janthinomys	Queiroz et al.	MW158344	https://www.ncbi.nlm.nih.gov/nuccore/MW158344
PQ186345	1981-05-07	Clade VI	South America	Brazil	Homo sapiens	Zhang et al.	PQ186345	https://www.ncbi.nlm.nih.gov/nuccore/PQ186345
JF912180	1981-12-31 (1981-03-11 - 1981-12-31)	Clade VI	South America	Brazil	Homo sapiens	Nunes et al.	JF912180	https://www.ncbi.nlm.nih.gov/nuccore/JF912180
PQ186352	1985-01-01 (1985-01-01 - 1985-11-22)	Clade VI	South America	Colombia	Homo sapiens	Zhang et al.	PQ186352	https://www.ncbi.nlm.nih.gov/nuccore/PQ186352
PQ186342	1991-11-30 (1991-11-04 - 1991-11-30)	Clade VI	South America	Brazil	Homo sapiens	Zhang et al.	PQ186342	https://www.ncbi.nlm.nih.gov/nuccore/PQ186342
JF912185	1992-12-31 (1992-02-11 - 1992-12-31)	Clade VI	South America	Brazil	Sabethes	Nunes et al.	JF912185	https://www.ncbi.nlm.nih.gov/nuccore/JF912185
JF912182	1984-01-01 (1984-01-01 - 1984-11-23)	Clade VI	South America	Brazil	Homo sapiens	Nunes et al.	JF912182	https://www.ncbi.nlm.nih.gov/nuccore/JF912182
MW158347	1989-02-22	Clade VI	South America	Trinidad and Tobago	Alouatta sp.	Queiroz et al.	MW158347	https://www.ncbi.nlm.nih.gov/nuccore/MW158347
MW158346	1989-01-20	Clade VI	South America	Trinidad and Tobago	Sabethes chloropterus	Queiroz et al.	MW158346	https://www.ncbi.nlm.nih.gov/nuccore/MW158346
MW158345	1988-12-14	Clade VI	South America	Trinidad and Tobago	Haemagogus janthinomys	Queiroz et al.	MW158345	https://www.ncbi.nlm.nih.gov/nuccore/MW158345
MW158348	1995-01-01 (1995-01-01 - 1995-11-22)	Clade VI	South America	Trinidad and Tobago	Haemagogus	Queiroz et al.	MW158348	https://www.ncbi.nlm.nih.gov/nuccore/MW158348
MW158349	2004-12-31 (2004-02-12 - 2004-12-31)	Clade VI	South America	Venezuela	Alouatta seniculus	Queiroz et al.	MW158349	https://www.ncbi.nlm.nih.gov/nuccore/MW158349
MW158364	2009-01-22	Clade VI	South America	Trinidad and Tobago	Coquillettidia venezuelensis	Queiroz et al.	MW158364	https://www.ncbi.nlm.nih.gov/nuccore/MW158364
HM582851	2009-12-31 (2009-03-28 - 2009-12-31)	Clade VI	South America	Trinidad and Tobago	Alouatta seniculus	Auguste et al.	HM582851	https://www.ncbi.nlm.nih.gov/nuccore/HM582851
MW158366	2009-01-16	Clade VI	South America	Trinidad and Tobago	Culex spissipes	Queiroz et al.	MW158366	https://www.ncbi.nlm.nih.gov/nuccore/MW158366
MW158367	2009-01-16	Clade VI	South America	Trinidad and Tobago	Coquillettidia venezuelensis	Queiroz et al.	MW158367	https://www.ncbi.nlm.nih.gov/nuccore/MW158367
